sequenceID	updated_host	iso_source	minor_clade	major_clade	collection_month	collection_month_day	collection_year	vaccine_strain	isolate
AY561814	Spilogale putorius	Spilogale putorius	-	RAC-SK	-	-	-	-	3248zacsk01
AY561807	Spilogale putorius	Spilogale putorius	-	Cosmopolitan	-	-	-	-	3265bcssk01
AY561808	Spilogale putorius	Spilogale putorius	-	Cosmopolitan	-	-	-	-	3290bcssk02
AY561812	Spilogale putorius	Spilogale putorius	-	RAC-SK	-	-	-	-	3296jalsk01
AY561822	Spilogale putorius	Spilogale putorius	-	Cosmopolitan	-	-	-	-	4471yucsk01
AY561815	Spilogale putorius	Spilogale putorius	-	RAC-SK	-	-	-	-	4489dgosk01
AY561816	Spilogale putorius	Spilogale putorius	-	RAC-SK	-	-	-	-	4502slpsk02
AY561817	Spilogale putorius	Spilogale putorius	-	RAC-SK	-	-	-	-	4505slpsk02
AB294349	Sus scrofa	brain of Sus scrofa	SEA2a	Asian	-	-	-	-	CHpg2
DQ496219	Sus scrofa	brain tissue of rabid pig	SEA2a	Asian	-	-	-	-	HuNPN01
AY561797	Sus scrofa	pig	AM2a	Cosmopolitan	-	-	-	-	4480yucpg02
AB110661	Sus scrofa	pig	AM3a	Cosmopolitan	-	-	-	-	BRpg28
AB247451	Sus scrofa	Pig	AM3b	Cosmopolitan	-	-	-	-	BRpg667
AF533825	Sus scrofa	pig	-	Bats	-	-	-	-	CIPG3953
AB428309	Sus scrofa	pig brain	SEA2a	Asian	OCT	5	2005	-	CHpg3
AB428318	Sus scrofa	pig brain	SEA2a	Asian	OCT	5	2005	-	CHpg3
AB428327	Sus scrofa	pig brain	SEA2a	Asian	OCT	5	2005	-	CHpg3
JX648408	Sus scrofa	pig brain	DR	Bats	-	-	2005	-	PERAMAPG2034-05
AF533826	Tadarida brasiliensis	Tadarida brasiliensis	LC	Bats	-	-	-	-	CITB3968
AF533827	Tadarida brasiliensis	Tadarida brasiliensis	LC	Bats	-	-	-	-	CITB3992
AF533784	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb1119
AF533785	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb1143
AF533786	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb1271
AF533815	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb1481
AF533787	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb1505
AF533788	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb1682
AF533789	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb1829
AF533790	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb2062
AF533811	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb2071
AF533791	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb2149
AF533792	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb274
AF533793	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3044
AF533794	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3151
AF533795	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3462
AF533796	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3834
AF533797	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3844
AF533798	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3846
AF533799	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3848
AF533800	Tadarida brasiliensis	Tadarida brasiliensis	LC	Bats	-	-	-	-	Tb3851
AF533801	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3861
AF533802	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3863
AF533803	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb3990
AF533804	Tadarida brasiliensis	Tadarida brasiliensis	-	Bats	-	-	-	-	Tb4009
AF533805	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb4066
AF533806	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb4441
AF533807	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb454
AF533808	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb617
AF533809	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	Tb645
AF533829	Tadarida brasiliensis	Tadarida brasiliensis	LC	Bats	-	-	-	-	tbbt3499
AF533832	Tadarida brasiliensis	Tadarida brasiliensis	-	Bats	-	-	-	-	tbbt3545
AF533830	Tadarida brasiliensis	Tadarida brasiliensis	-	Bats	-	-	-	-	tbbt3560
AF533831	Tadarida brasiliensis	Tadarida brasiliensis	TB2	Bats	-	-	-	-	tbbt3591
AY561799	Urocyon cineroargenteus	Urocyon cineroargenteus	AM2b	Cosmopolitan	-	-	-	-	3253sonfx01
AY561798	Urocyon cineroargenteus	Urocyon cineroargenteus	AM2b	Cosmopolitan	-	-	-	-	3280zacfx99
AY561801	Urocyon cineroargenteus	Urocyon cineroargenteus	AM2b	Cosmopolitan	-	-	-	-	4498sonfx02
AY245848	Vulpes lagopus	polar fox in Estonia in 1996	NEE	Cosmopolitan	-	-	-	-	-
AY245850	Vulpes vulpes	atypical red fox	CE	Cosmopolitan	-	-	-	-	-
EU589964	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox0034/2002
EU589986	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox0246/1999
EU589981	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox0338/1998
EU589967	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox1647/1999
EU589972	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox1752/1999
EU589971	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox2880/1999
EU589983	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox3108/1999
EU589984	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox3197/1998
EU589987	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox3205/1999
EU589970	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox3520/1997
EU589973	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox3754/1997
EU589975	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox3895/1996
EU589958	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox4429/2007
EU589961	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox7077/2007
EU589985	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox7468/1999
EU589978	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox7501/2000
EU589965	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox8674/2007
EU589969	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox9053/1997
EU589960	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox9934/2006
EU589968	Vulpes vulpes	brain	ME1a	Cosmopolitan	-	-	-	-	Fox9945/1997
AB206407	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx1
AB206408	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx2
AB206409	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx3
AB517660	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx3
AB206410	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx4
AB206411	Vulpes vulpes	fox	-	Cosmopolitan	-	-	-	-	BR-Pfx5
AB207884	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx6
AB206412	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx7
AB206413	Vulpes vulpes	fox	AM3b	Cosmopolitan	-	-	-	-	BR-Pfx8
AB247430	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx239
AB247431	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx240
AB247432	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx241
AB247433	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx242
AB247434	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx245
AB247435	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx246
AB247436	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx247
AB247437	Vulpes vulpes	Fox	AM3b	Cosmopolitan	-	-	-	-	BRfx248
